class_id size mean_degree
1 13 20.38
2 10 20.33
3 10 20.38
4 9 20.33
5 9 20.33
6 9 20.29
7 8 20.29
8 8 20.43
9 8 20.33
10 7 20.33
11 6 20.33
12 6 20.33
13 6 20.33
14 6 20.29
15 6 20.29
16 6 20.24
17 6 20.43
18 6 20.38
19 6 20.29
20 6 20.38
21 5 20.43
22 5 20.38
23 5 20.38
24 4 20.29
25 4 20.29
26 4 20.33
27 4 20.48
28 4 20.38
29 4 20.33
30 4 20.24
31 4 20.24
32 4 20.29
33 4 20.38
34 4 20.43
35 4 20.43
36 4 20.38
37 4 20.29
38 3 20.29
39 3 20.38
40 3 20.43
41 3 20.24
42 3 20.29
43 3 20.33
44 3 20.24
45 3 20.19
46 3 20.38
47 3 20.33
48 2 20.29
49 2 20.38
50 2 20.33
51 2 20.43
52 2 20.43
53 2 20.48
54 2 20.48
55 2 20.19
56 2 20.48
57 2 20.29
58 2 20.24
59 2 20.33
60 2 20.33
61 2 20.33
62 2 20.43
63 2 20.38
64 2 20.24
65 2 20.38
66 2 20.43
67 2 20.24
68 2 20.48
69 2 20.38
70 2 20.43
71 2 20.33
72 2 20.38
73 2 20.38
74 1 20.43
75 1 20.33
76 1 20.24
77 1 20.38
78 1 20.29
79 1 20.43
80 1 20.29
81 1 20.48
82 1 20.33
83 1 20.48
84 1 20.19
85 1 20.24
86 1 20.33
87 1 20.38
88 1 20.24
89 1 20.48
90 1 20.29
91 1 20.29
92 1 20.19
93 1 20.43
94 1 20.33
95 1 20.14
96 1 20.29
97 1 20.48
