k ncomp largest isolated nedges cc
1 321 3 315 7 0.000000
2 321 3 315 8 1.000000
3 320 4 314 9 0.777778
4 307 4 292 26 0.333333
5 307 4 292 30 1.000000
6 307 4 292 30 1.000000
8 307 4 292 30 1.000000
10 307 4 292 30 1.000000
15 307 4 292 30 1.000000
20 307 4 292 30 1.000000
30 307 4 292 30 1.000000
50 307 4 292 30 1.000000
75 295 4 274 47 0.916667
100 276 6 248 79 0.821667
150 256 10 226 146 0.827482
200 229 20 199 258 0.734882
250 204 20 168 432 0.677826
300 124 54 78 736 0.708951
350 45 138 22 1365 0.639034
400 1 328 0 10056 0.344081
450 1 328 0 51814 0.967066
500 1 328 0 53627 0.999981
