k4count count
1099 1
1104 1
1115 1
1122 1
1124 1
1128 3
1129 1
1131 1
1134 1
1135 3
1136 1
1137 3
1138 1
1141 6
1142 2
1144 4
1145 3
1146 1
1147 3
1148 6
1149 3
1150 6
1151 5
1152 1
1153 4
1154 8
1155 3
1156 1
1157 9
1158 7
1159 1
1160 5
1161 9
1162 4
1163 7
1164 11
1165 5
1166 10
1167 8
1168 6
1169 3
1170 12
1171 8
1172 1
1173 7
1174 10
1175 4
1176 6
1177 10
1178 7
1179 7
1180 6
1181 7
1182 3
1183 11
1184 4
1185 4
1186 5
1187 8
1188 2
1189 4
1190 5
1191 4
1192 2
1193 2
1194 5
1195 1
1196 7
1198 3
1199 1
1200 3
1201 1
1202 1
1203 3
1204 1
1207 1
1209 2
