index lambda1 gap
1 20.278886 14.664241
2 20.314968 14.923933
3 20.366035 14.974839
4 20.222114 14.718275
5 20.271318 14.768609
6 20.319113 14.817632
7 20.372532 14.871269
8 20.266565 14.871826
9 20.315577 14.922859
10 20.362930 14.972068
11 20.416126 15.025586
12 20.322951 14.817023
13 20.227178 14.612322
14 20.178169 14.558766
15 20.227795 14.610563
16 20.275731 14.662872
17 20.329598 14.716752
18 20.222770 14.710256
19 20.272201 14.762917
20 20.319690 14.815969
21 20.373329 14.869640
22 20.270838 14.769284
23 20.322111 14.820453
24 20.514349 14.942273
25 20.271453 14.765251
26 20.416200 14.997929
27 20.365929 14.947537
28 20.368464 14.918407
29 20.318096 14.867252
30 20.416470 14.972495
31 20.366209 14.922070
32 20.424013 14.896388
33 20.320169 14.814882
34 20.320320 14.792615
35 20.421362 14.917307
36 20.373530 14.843850
37 20.371031 14.866696
38 20.370755 14.865612
39 20.322561 14.790193
40 20.378586 14.872766
41 20.512716 14.990089
42 20.376588 14.849846
43 20.518855 15.101965
44 20.468969 15.052140
45 20.419352 14.975538
46 20.466595 15.049657
47 20.419214 14.972765
48 20.369101 14.922350
49 20.416576 14.999647
50 20.323101 14.793503
51 20.370897 14.843157
52 20.271873 14.739571
53 20.373435 14.817251
54 20.322868 14.767187
55 20.373040 14.844751
56 20.325155 14.761700
57 20.322462 14.794509
58 20.274478 14.711292
59 20.376330 14.816635
60 20.325914 14.766709
61 20.469350 15.025584
62 20.373703 14.846087
63 20.426752 14.871117
64 20.376455 14.821367
65 20.423855 14.897502
66 20.373534 14.847511
67 20.419748 15.013772
68 20.469332 15.090700
69 20.369512 14.960844
70 20.416954 15.038549
71 20.366601 14.960399
72 20.318502 14.905351
73 20.366302 14.986513
74 20.423372 14.897868
75 20.476417 14.951126
76 20.426232 14.901221
77 20.372920 14.847706
78 20.266357 14.924185
79 20.315149 14.973093
80 20.362772 15.017689
81 20.415754 15.071747
82 20.327357 14.713296
83 20.380907 14.766909
84 20.378123 14.764542
85 20.431402 14.817979
86 20.365635 15.022750
87 20.314785 14.971846
88 20.409751 15.120834
89 20.459808 15.192579
90 20.409372 15.111595
91 20.511886 15.240843
92 20.509509 15.242987
93 20.310613 15.019769
94 20.406403 15.110899
95 20.459166 15.159014
96 20.359218 15.064422
97 20.469968 15.062687
98 20.519439 15.139783
99 20.421765 14.954060
100 20.371081 14.902880
101 20.517007 15.168871
102 20.414216 15.066754
103 20.414453 15.067133
104 20.464594 15.117371
105 20.364009 15.016648
106 20.466891 15.118561
107 20.419848 15.010056
108 20.467195 15.087834
109 20.466825 15.087612
110 20.416454 15.038200
111 20.417087 15.009700
112 20.369096 14.955229
113 20.416797 15.036114
114 20.272320 14.775452
115 20.323237 14.825641
116 20.374207 14.879675
117 20.424673 14.932271
118 20.422004 14.954071
119 20.315404 14.964007
120 20.473984 14.970015
121 20.423790 14.919432
122 20.466243 15.049564
123 20.327839 14.713123
124 20.279759 14.636560
125 20.276824 14.636316
126 20.330655 14.690478
127 20.222612 14.752982
128 20.271820 14.803581
129 20.319582 14.852951
130 20.373005 14.906572
131 20.271321 14.804424
132 20.322598 14.855612
133 20.358725 15.065304
134 20.512383 15.223314
135 20.462461 15.171833
136 20.459440 15.191175
137 20.361924 15.070014
138 20.409576 15.143536
139 20.459932 15.172449
140 20.412212 15.122716
141 20.459766 15.195661
142 20.412509 15.123598
143 20.462546 15.175329
144 20.509751 15.244514
145 20.468901 14.999471
146 20.415795 14.945875
147 20.468661 15.002296
148 20.521478 15.056085
149 20.421485 14.951883
150 20.368137 14.898069
151 20.421243 14.954857
152 20.474299 15.008877
153 20.368309 14.899204
154 20.421412 14.956083
155 20.323552 14.829592
156 20.320753 14.828647
157 20.315899 14.945170
158 20.366703 14.998364
159 20.364055 14.996436
160 20.417001 15.048848
161 20.467233 15.098667
162 20.417053 15.048317
163 20.414551 15.046545
164 20.366505 14.995426
165 20.464704 15.117622
166 20.414512 15.067271
167 20.267015 14.911059
168 20.363353 15.012489
169 20.416552 15.065993
170 20.316033 14.962710
171 20.376728 14.864469
172 20.424136 14.895260
173 20.376159 14.848074
174 20.478857 14.955261
175 20.325448 14.797398
176 20.428536 14.904373
177 20.375736 14.850863
178 20.323643 14.811177
179 20.426442 14.900955
180 20.474608 15.006674
181 20.424193 14.955692
182 20.371557 14.879041
183 20.320582 14.851322
184 20.371395 14.902273
185 20.374140 14.882083
186 20.371449 14.903111
187 20.423611 14.907223
188 20.366475 15.014886
189 20.325405 14.812235
190 20.471564 15.006164
191 20.374940 14.848446
192 20.327145 14.846572
193 20.283447 14.714291
194 20.331685 14.762806
195 20.414256 15.063418
196 20.462277 15.165130
197 20.363668 15.009320
198 20.416596 15.068462
199 20.469477 15.122828
200 20.416837 15.063054
201 20.411781 15.112139
202 20.464453 15.169925
203 20.464940 15.166596
204 20.517326 15.225396
205 20.363818 15.013614
206 20.416743 15.073110
207 20.411941 15.115463
208 20.464611 15.173550
209 20.411527 15.059305
210 20.464214 15.117299
211 20.464453 15.112956
212 20.516856 15.171547
213 20.459455 15.160415
214 20.511889 15.217536
215 20.512372 15.214772
216 20.514685 15.223013
217 20.466919 15.122394
218 20.416095 14.999441
219 20.421141 14.917339
220 20.370683 14.866545
221 20.327444 14.711508
222 20.279098 14.632715
223 20.378474 14.764135
224 20.330496 14.687064
225 20.327711 14.687109
226 20.277277 14.763626
227 20.276547 14.660436
228 20.228096 14.582040
229 20.381269 14.741064
230 20.371136 14.888402
231 20.419311 14.990073
232 20.472152 15.047106
233 20.424235 14.946100
234 20.320247 14.831458
235 20.373617 14.889018
236 20.426735 14.946184
237 20.373659 14.887687
238 20.368517 14.933876
239 20.421627 14.990559
240 20.421918 14.991366
241 20.474736 15.049240
242 20.320388 14.839103
243 20.373757 14.897000
244 20.368669 14.940391
245 20.421776 14.997372
246 20.368473 14.881364
247 20.421596 14.938106
248 20.474470 14.995166
249 20.421637 14.937568
250 20.416555 14.982413
251 20.469420 15.038565
252 20.469709 15.039817
253 20.522285 15.097076
254 20.371302 14.842561
255 20.330858 14.789661
256 20.431583 14.908097
257 20.381053 14.856944
258 20.380741 14.746142
259 20.327201 14.689253
260 20.384273 14.852694
261 20.375985 14.850285
262 20.378838 14.846100
263 20.330222 14.790867
264 20.426321 14.901844
265 20.379203 14.845232
266 20.328574 14.789586
267 20.279847 14.731134
268 20.330712 14.789131
269 20.431690 14.865603
270 20.378922 14.812830
271 20.328412 14.761079
272 20.329002 14.818018
273 20.333340 14.766306
274 20.384095 14.808394
275 20.335372 14.756278
276 20.331206 14.754409
277 20.282357 14.701076
278 20.231254 14.645179
279 20.287531 14.707464
280 20.336456 14.760719
281 20.280343 14.700390
282 20.330945 14.754049
283 20.281971 14.700870
284 20.428846 14.845949
285 20.375569 14.789478
286 20.383363 14.847384
287 20.370514 14.849934
288 20.418725 14.949444
289 20.431733 14.901353
290 20.335705 14.794269
291 20.327949 14.761758
292 20.378907 14.812848
293 20.384241 14.817656
294 20.277323 14.709974
295 20.282806 14.741605
296 20.367677 14.846654
297 20.420800 14.903564
298 20.420792 14.899979
299 20.473626 14.956923
300 20.319833 14.797897
301 20.373199 14.855445
302 20.426265 14.909018
303 20.373192 14.851430
304 20.319994 14.799632
305 20.373357 14.857297
