graph_idx,ev_1,ev_2,ev_3,ev_4,ev_5,ev_6,ev_7,ev_8,ev_9,ev_10,ev_11,ev_12,ev_13,ev_14,ev_15,ev_16,ev_17,ev_18,ev_19,ev_20,ev_21,ev_22,ev_23,ev_24,ev_25,ev_26,ev_27,ev_28,ev_29,ev_30,ev_31,ev_32,ev_33,ev_34,ev_35,ev_36,ev_37,ev_38,ev_39,ev_40,ev_41,ev_42
1,20.27888591,5.61464502,5.19823420,4.76849826,4.34822979,3.67955909,3.42824083,3.13913251,2.98300251,2.96717592,2.60963236,2.19754400,2.06182936,1.21275836,0.97406092,0.38860994,0.35109807,0.27769311,0.14701949,0.02456164,-0.11050109,-0.17712753,-0.77522337,-0.82875505,-1.18803065,-1.25908320,-1.95321144,-2.25965816,-2.89399809,-3.04105514,-3.08660680,-3.36655172,-3.56447579,-3.60783137,-4.00488931,-4.08479804,-4.28650516,-4.55442157,-5.00961545,-5.07095267,-5.26450613,-6.26261356
2,20.31496796,5.39103542,5.28722445,4.92287208,4.39195850,3.55744059,3.51464340,3.17358533,3.03877480,2.89143262,2.53652150,2.13200542,2.11217533,1.21363070,0.89525180,0.59828360,0.26881887,0.16889112,0.15946111,0.03697546,-0.02767267,-0.20401941,-0.57813213,-0.85770972,-1.26687787,-1.34831920,-1.90146727,-2.29311123,-2.74307828,-2.98839984,-3.06024280,-3.40848860,-3.53783307,-3.66967159,-4.08954189,-4.17457093,-4.30863532,-4.46809451,-4.96921789,-5.22789836,-5.28185989,-6.20110758
3,20.36603451,5.39119508,5.29097116,4.75809702,4.39782268,3.57180972,3.54811751,3.11028616,3.03873111,2.87871524,2.70849433,2.11998827,2.06756780,1.21070214,0.99134664,0.63736375,0.24146891,0.17936955,0.13531326,0.03272643,-0.13752825,-0.20965960,-0.53686952,-0.85708135,-1.08725218,-1.43337083,-1.88184580,-2.30624612,-2.73413100,-2.98872717,-3.14477682,-3.41884754,-3.52545978,-3.67020077,-3.99655831,-4.20887318,-4.37971579,-4.46298585,-4.94734422,-5.22331482,-5.24185411,-6.28347825
4,20.22211428,5.50383928,5.21406886,5.03479993,4.40382807,3.55802761,3.32078593,3.11713347,3.02944663,2.90341156,2.61330975,2.29555625,2.10645809,1.11192324,0.92750380,0.50821630,0.35137547,0.24016871,0.17114940,-0.00122850,-0.08805178,-0.20861898,-0.69330431,-0.80358154,-1.25021053,-1.39996627,-1.86607013,-2.27235133,-2.87249907,-2.94519320,-3.03397961,-3.40591488,-3.56051097,-3.68432657,-4.01029999,-4.14591929,-4.20152967,-4.55553044,-5.05108222,-5.17279774,-5.28117992,-6.12896968
5,20.27131756,5.50270810,5.21762940,4.86024631,4.42576044,3.55771380,3.36247044,3.07300371,3.03154632,2.88232987,2.81651746,2.22849317,2.10912716,1.09579345,1.02473025,0.55108785,0.34843543,0.21997793,0.18202472,0.00911247,-0.18916965,-0.27505781,-0.60256836,-0.80363656,-1.25277424,-1.33608533,-1.85501300,-2.27531808,-2.85053670,-3.02910190,-3.09237943,-3.42300780,-3.54955046,-3.68676876,-4.07480653,-4.08604282,-4.22815144,-4.55105095,-5.01567531,-5.17914495,-5.22024662,-6.19393915
6,20.31911330,5.50148129,5.22242163,4.78517088,4.35466225,3.55628609,3.43300820,3.33710146,3.03374186,2.94124425,2.33889669,2.24106210,2.11724949,1.28589205,0.88615062,0.58771456,0.35830417,0.29453079,0.16661051,0.05140943,0.03094251,-0.20205205,-0.80267188,-0.84848909,-1.22484984,-1.35155705,-1.93951764,-2.23661383,-2.94782147,-2.98897115,-3.05049211,-3.38956796,-3.63464847,-3.66535753,-4.07279914,-4.09437346,-4.22373490,-4.55105684,-4.91696414,-5.16057153,-5.30387289,-6.23701115
7,20.37253239,5.50126319,5.22755743,4.62465545,4.36039082,3.55623886,3.50456013,3.23559873,3.03561238,2.93271354,2.48665032,2.17339528,2.11933799,1.25001137,1.01622956,0.62625861,0.34987754,0.25144921,0.17803060,0.03867352,-0.05402684,-0.20319138,-0.76322696,-0.80267192,-1.08329475,-1.42023540,-1.91226318,-2.24120985,-2.92514183,-3.03762768,-3.10933667,-3.39898465,-3.62887696,-3.66630543,-3.90896784,-4.10740316,-4.37918397,-4.54751468,-4.90252061,-5.16318823,-5.25639924,-6.32946567
8,20.26656517,5.39473899,5.28495790,5.02866637,4.42809903,3.55750496,3.43958361,3.08656472,3.03873052,2.87477949,2.65516670,2.16830215,2.10887183,1.10046902,0.94056245,0.57368264,0.24403125,0.17149541,0.13979789,0.00390824,-0.08807908,-0.20880584,-0.51181097,-0.85907439,-1.27888229,-1.34284239,-1.86513303,-2.32228822,-2.73146244,-2.99056856,-3.01223758,-3.42090272,-3.49197065,-3.68461050,-4.01311408,-4.20117961,-4.32340879,-4.46570646,-5.03299234,-5.23801899,-5.27795704,-6.14543237
9,20.31557749,5.39271822,5.28844387,4.85302218,4.44723406,3.55706809,3.47348633,3.04293194,3.03876406,2.86274571,2.85489940,2.11281450,2.10586102,1.08320599,1.05530527,0.61321210,0.23234822,0.18217131,0.12511886,0.01379364,-0.19044571,-0.27730360,-0.46640807,-0.85907439,-1.15768468,-1.38021253,-1.85330254,-2.33619881,-2.72204554,-2.97363577,-3.13322294,-3.43774625,-3.48046637,-3.68750346,-4.07476452,-4.10097284,-4.38307624,-4.46138982,-4.99981725,-5.21403379,-5.24682349,-6.21459367
10,20.36293036,5.39086219,5.28954207,4.78318036,4.38069046,3.55466850,3.54994132,3.31193353,3.03982844,2.90158759,2.41115363,2.11994228,2.11081641,1.28046338,0.89066914,0.63199466,0.29854722,0.17244726,0.16680045,0.03332632,0.03184499,-0.20260486,-0.64241018,-0.85918802,-1.18279374,-1.40140755,-1.93870003,-2.26030410,-2.75804113,-3.04332506,-3.06132881,-3.40214949,-3.57902086,-3.66617132,-4.06650130,-4.21829832,-4.29114633,-4.46841348,-4.90134778,-5.22133988,-5.29478423,-6.25389406
