graph_idx,is_complement,base_idx,tau,best_mask_hex,degree_new_vertex,time_s
1,false,1,35,3319b604cf,19,1.5
2,true,1,35,3cce6497730,22,1.5
3,false,2,26,24afa1940f,18,1.6
4,true,2,26,3db505e6bf0,24,1.6
5,false,3,24,957b1948f,19,1.6
6,true,3,24,3f6a84e6b70,23,1.6
7,false,4,43,3ccf2f020f,20,1.5
8,true,4,43,3c330e0fef0,22,1.5
9,false,5,41,3333cf0a0f,20,1.5
10,true,5,41,3cccc30fef0,23,1.5
11,false,6,34,cccff010f,19,1.6
12,true,6,34,3f33300fef0,23,1.6
13,false,7,33,3ccff010f,19,1.6
14,true,7,33,3fc3300fef0,23,1.6
15,false,8,30,cff08cc0f,19,1.6
16,true,8,30,3f300fb33f0,23,1.5
17,false,9,28,33f30cc0f,18,1.5
18,true,9,28,3fcc0cf33b0,23,1.5
19,false,10,21,cff0cc0f,18,1.7
20,true,10,21,3ff300f33f0,24,1.6
21,false,11,20,cff0cc0f,18,1.7
22,true,11,20,3ff300f33f0,24,1.7
23,false,12,21,3606c3c0bf,19,1.7
24,true,12,21,3c9f93c3f10,23,1.7
25,false,13,37,aa2b7208cf,19,1.5
26,true,13,37,355d48df730,23,1.5
27,false,14,41,f0cce308cf,20,1.5
28,true,14,41,30f331cf730,22,1.5
29,false,15,39,f0333304cf,19,1.5
30,true,15,39,30fccccbb30,22,1.5
31,false,16,32,3c0cf308cf,19,1.6
32,true,16,32,3c3f30cf730,23,1.6
33,false,17,31,f0cf308cf,19,1.6
34,true,17,31,3f0f30cf730,23,1.6
35,false,18,28,cc3c3380cf,19,1.6
36,true,18,28,333c3cc7f20,22,1.6
37,false,19,25,cc0f0cc0df,19,1.6
38,true,19,25,333f0f33f20,23,1.6
39,false,20,18,3303ccc0df,19,1.8
40,true,20,18,3ccfc333f10,23,1.8
41,false,21,17,cc3ccc0df,19,1.8
42,true,21,17,3f33c333f00,22,1.9
43,false,22,39,f33ce500f,19,1.5
44,true,22,39,3f0cc31aff0,23,1.5
45,false,23,37,d99ee420f,19,1.6
46,true,23,37,3f26611a7f0,22,1.6
47,false,24,30,fc3c2c03ff,23,1.6
48,true,24,30,303c3e3fc00,19,1.6
49,false,25,23,6c0d8740bf,19,1.7
50,true,25,23,393f278bf40,23,1.7
51,false,26,15,134bc4b40f,18,1.8
52,true,26,15,3ecb43b4bf0,24,1.8
53,false,27,15,597c4b40f,18,1.7
54,true,27,15,3fa683b4bf0,24,1.8
55,false,28,26,2d2f04b40f,18,1.6
56,true,28,26,3d2d0fb4bb0,23,1.6
57,false,29,26,1a5e84b40f,18,1.6
58,true,29,26,3e5a17b4bf0,24,1.6
59,false,30,21,134bc2b40f,18,1.7
60,true,30,21,3ecb43d4bf0,24,1.7
61,false,31,21,597c2b40f,18,1.7
62,true,31,21,3fa683d4bf0,24,1.7
63,false,32,33,7758df00f,20,1.6
64,true,32,33,3f88a760ff0,23,1.6
65,false,33,27,11db57300f,19,1.6
66,true,33,27,3ee24ac4ff0,23,1.6
67,false,34,34,11db4fb00f,20,1.6
68,true,34,34,3ee24b44ff0,23,1.6
69,false,35,25,9b6cdb00f,19,1.7
70,true,35,25,3f649324ff0,23,1.7
71,false,36,37,16db0db00f,19,1.6
72,true,36,37,3e924f60df0,22,1.6
73,false,37,25,4f5add80f,20,1.7
74,true,37,25,3fb0a52a7f0,23,1.7
75,false,38,27,156d95680f,19,1.7
76,true,38,27,3ea926e17f0,23,1.7
77,false,39,39,35b615680f,19,1.6
78,true,39,39,3ca49ea97f0,23,1.6
79,false,40,26,87ae940bbf,22,1.7
80,true,40,26,378517bf440,21,1.7
81,false,41,16,161a67f097f,24,1.7
82,true,41,16,29e5980f680,18,1.7
83,false,42,2,1e9c0c0dff,21,1.7
84,true,42,2,3e163f3d200,20,1.7
85,false,43,12,4add2780f,18,1.8
86,true,43,12,3fb522d87f0,24,1.9
87,false,44,12,15bb2780f,18,1.8
88,true,44,12,3fea44d87f0,24,1.9
89,false,45,20,2b762780f,18,1.8
90,true,45,20,3fd489d87f0,24,1.8
91,false,46,13,953e2b40f,18,1.9
92,true,46,13,3f6ac1d4bf0,24,1.8
93,false,47,24,154f82b40f,18,1.7
94,true,47,24,3eab07d4bf0,24,1.7
95,false,48,24,a9f22b40f,18,1.7
96,true,48,24,3f560dd4bf0,24,1.7
97,false,49,13,2c7e2740f,18,1.8
98,true,49,13,3fd381d8bf0,24,1.8
99,false,50,37,13764af00f,19,1.6
100,true,50,37,3ec89b18ff0,23,1.6
101,false,51,34,156d89f00f,19,1.6
102,true,51,34,3ea92724ff0,23,1.6
103,false,52,39,556c91e80f,19,1.5
104,true,52,39,3aa936257f0,22,1.5
