idx,result,time_s,max_depth,avg_depth,mincheck_calls,mincheck_time_s,added_clauses
1000,UNSAT,,,,,,
1001,UNSAT,,,,,,
1002,UNSAT,,,,,,
1003,UNSAT,,,,,,
1004,UNSAT,,,,,,
1005,UNSAT,,,,,,
1006,UNSAT,,,,,,
1007,UNSAT,,,,,,
1008,UNSAT,,,,,,
1009,UNSAT,,,,,,
100,UNSAT,,,,,,
1010,UNSAT,,,,,,
1011,UNSAT,,,,,,
1012,UNSAT,,,,,,
1013,UNSAT,,,,,,
1014,UNSAT,,,,,,
1015,UNSAT,,,,,,
1016,UNSAT,,,,,,
1017,UNSAT,,,,,,
1018,UNSAT,,,,,,
1019,UNSAT,,,,,,
101,UNSAT,,,,,,
1020,UNSAT,,,,,,
1021,UNSAT,,,,,,
1022,UNSAT,,,,,,
1023,UNSAT,,,,,,
1024,UNSAT,,,,,,
1025,UNSAT,,,,,,
1026,UNSAT,,,,,,
1027,UNSAT,,,,,,
1028,UNSAT,,,,,,
1029,UNSAT,,,,,,
102,UNSAT,,,,,,
1030,UNSAT,,,,,,
1031,UNSAT,,,,,,
1032,UNSAT,,,,,,
1033,UNSAT,,,,,,
1034,UNSAT,,,,,,
1035,UNSAT,,,,,,
1036,UNSAT,,,,,,
1037,UNSAT,,,,,,
1038,UNSAT,,,,,,
1039,UNSAT,,,,,,
103,UNSAT,,,,,,
1040,UNSAT,,,,,,
1041,UNSAT,,,,,,
1042,UNSAT,,,,,,
1043,UNSAT,,,,,,
1044,UNSAT,,,,,,
1045,UNSAT,,,,,,
1046,UNSAT,,,,,,
1047,UNSAT,,,,,,
1048,UNSAT,,,,,,
1049,UNSAT,,,,,,
104,UNSAT,,,,,,
1050,UNSAT,,,,,,
1051,UNSAT,,,,,,
1052,UNSAT,,,,,,
1053,TIMEOUT,,,,,,
1054,UNSAT,,,,,,
1055,UNSAT,,,,,,
1056,UNSAT,,,,,,
1057,UNSAT,,,,,,
1058,UNSAT,,,,,,
1059,UNSAT,,,,,,
105,UNSAT,,,,,,
1060,UNSAT,,,,,,
1061,UNSAT,,,,,,
1062,UNSAT,,,,,,
1063,UNSAT,,,,,,
1064,UNSAT,,,,,,
1065,UNSAT,,,,,,
1066,UNSAT,,,,,,
1067,UNSAT,,,,,,
1068,UNSAT,,,,,,
1069,UNSAT,,,,,,
106,UNSAT,,,,,,
1070,UNSAT,,,,,,
1071,UNSAT,,,,,,
1072,UNSAT,,,,,,
1073,UNSAT,,,,,,
1074,UNSAT,,,,,,
1075,UNSAT,,,,,,
1076,UNSAT,,,,,,
1077,TIMEOUT,,,,,,
1078,UNSAT,,,,,,
1079,UNSAT,,,,,,
107,UNSAT,,,,,,
1080,UNSAT,,,,,,
1081,UNSAT,,,,,,
1082,UNSAT,,,,,,
1083,UNSAT,,,,,,
1084,UNSAT,,,,,,
1085,UNSAT,,,,,,
1086,UNSAT,,,,,,
1087,UNSAT,,,,,,
1088,UNSAT,,,,,,
1089,UNSAT,,,,,,
108,UNSAT,,,,,,
1090,UNSAT,,,,,,
1091,UNSAT,,,,,,
1092,UNSAT,,,,,,
1093,UNSAT,,,,,,
1094,UNSAT,,,,,,
1095,TIMEOUT,,,,,,
1096,UNSAT,,,,,,
1097,UNSAT,,,,,,
1098,UNSAT,,,,,,
1099,UNSAT,,,,,,
109,UNSAT,,,,,,
10,UNSAT,,,,,,
1100,UNSAT,,,,,,
1101,UNSAT,,,,,,
1102,UNSAT,,,,,,
1103,UNSAT,,,,,,
1104,UNSAT,,,,,,
1105,UNSAT,,,,,,
1106,UNSAT,,,,,,
1107,UNSAT,,,,,,
1108,TIMEOUT,,,,,,
1109,TIMEOUT,,,,,,
110,UNSAT,,,,,,
1110,UNSAT,,,,,,
1111,UNSAT,,,,,,
1112,UNSAT,,,,,,
1113,UNSAT,,,,,,
1114,UNSAT,,,,,,
1115,UNSAT,,,,,,
1116,UNSAT,,,,,,
1117,UNSAT,,,,,,
1118,UNSAT,,,,,,
1119,UNSAT,,,,,,
111,UNSAT,,,,,,
1120,UNSAT,,,,,,
1121,UNSAT,,,,,,
1122,UNSAT,,,,,,
1123,UNSAT,,,,,,
1124,UNSAT,,,,,,
1125,UNSAT,,,,,,
1126,UNSAT,,,,,,
1127,UNSAT,,,,,,
1128,UNSAT,,,,,,
1129,UNSAT,,,,,,
112,UNSAT,,,,,,
1130,UNSAT,,,,,,
1131,UNSAT,,,,,,
1132,UNSAT,,,,,,
1133,UNSAT,,,,,,
1134,UNSAT,,,,,,
1135,UNSAT,,,,,,
1136,UNSAT,,,,,,
1137,UNSAT,,,,,,
1138,UNSAT,,,,,,
1139,UNSAT,,,,,,
113,UNSAT,,,,,,
1140,UNSAT,,,,,,
1141,UNSAT,,,,,,
1142,UNSAT,,,,,,
1143,UNSAT,,,,,,
1144,UNSAT,,,,,,
1145,UNSAT,,,,,,
1146,UNSAT,,,,,,
1147,UNSAT,,,,,,
1148,UNSAT,,,,,,
1149,UNSAT,,,,,,
114,UNSAT,,,,,,
1150,UNSAT,,,,,,
1151,UNSAT,,,,,,
1152,UNSAT,,,,,,
1153,UNSAT,,,,,,
1154,UNSAT,,,,,,
1155,UNSAT,,,,,,
1156,UNSAT,,,,,,
1157,UNSAT,,,,,,
1158,UNSAT,,,,,,
1159,UNSAT,,,,,,
115,UNSAT,,,,,,
1160,UNSAT,,,,,,
1161,UNSAT,,,,,,
1162,UNSAT,,,,,,
